text,cleaned_text
Me watching season 3 episode one of sex education https://t.co/4O1VAStILO,one
"Download Sex Education 
Season 1

https://t.co/04BglOYhAA
Season 2

https://t.co/6U6dBK65Kl

Season 3

https://t.co/WzRS9PqLxF",download
‘Sex Education’ Gets More Inclusive in Its Intimacy https://t.co/CLT8WRwjTe,get inclusive intimacy
I’ve just finished season 3 of Sex Education and now I feel lost 😭😭😭 https://t.co/cMoRyiCdHn,feel lose
"Why is this such a big deal to y’all? This is tame. Throw a rock and you‘ll probably hit a show with a more explicit sex scene in it.

Like for example Season 3 of Sex Education, which came out last month, literally started with a montage of different characters fucking. https://t.co/CjVyrL24ik",big deal tame throw rock probably hit show explicit like example come month literally montage different character fuck
"Dua Saleh on 'Sex Education' Season 3, Gender Euphoria, and Making Music for the Moment https://t.co/ARgKJSwvRh",gender euphoria make music moment
Mimi Keene Is the Surprise Star of 'Sex Education' Season 3 https://t.co/9Rtxc6ef48,surprise star
Anyone else not notice Ruby in the first 2 seasons of Sex Education and now want to marry her after season 3?,anyone else notisce ruby season want marry
I still haven’t seen sex education season 3 I’ve been lying to everyone,still see lie everyone
Mad props to the actress playing hope in season 3 Sex Education cause she’s so goddamn good at playing a villain,mad prop actres play hope cause goddamn good play villain
