text,cleaned_text
@CassKP_x Trying to watch squid game and sex education season 3 but I’ve got too many tv shows on the go I need to concentrate on one at a time,try get many show go need concentrate one time
I’m gna end up finishing season 3 of Sex Education by the end of today,gna end end today
"Just finished Sex Education season 3. I have so many complex emotions towards the characters, the good and the bad and that's great 'cause everyone is all fleshed out and it's the best season so far ❤❤❤",many complex emotison toward character good bad that great cause everyone flesh best far
"sex education season 3 was rly good, I just wish they weren’t limited by the 8 episode format. some of the storylines felt rushed in the last couple episodes, and could’ve been thoroughly explored and tied off with a couple more eps. ovr all tho, still one of Netflix’s best",rly good wish limit format storyline feel rush couple episode can thoroughly explore tie couple ep ovr tho still one best
i just finished sex education season 3 and now i’m sad😭😭,sad
I don’t remember sex education having this much … uh… SEX. Damn I needed a warning before the beginning of episode 1 of season 3💀,remember much uh damn need warn begin
"Saw sex education season 3 finally @sleeparalysis the Nigerian bit was awesome brought back some memories n shit , i will just say Eric n adam are my favourite Characters these season (eric is always my favorite✌🏿) n also jakob and otis's moms drama was really interesting",see nigerian bit awesome bring back memory n shit say eric n adam favourite character eric alway favorite n also jakob otiss mom drama interest
Watching Sex Education season 3 and just want to say that Otis is a gigantic dickhead,want say otis gigantic dickhead
I just know season 3 of sex education is going to piss me off,know go piss
"After finishing season 3 of Sex Education, here are all the characters my soul can tolerate:
Maeve
Jackson
Ola
Rahim
Jean Milburn
Jakob
Cal
Aimee
Steve
The goat",character soul tolerate maeve jackson ola rahim jean milburn jakob cal aimee steve goat
Season 3 of sex education is literally the best thing I’ve ever watched,literally best thing ever
"""We’re back at Moordale High with yet another long awaited season!""

https://t.co/2VrapqsuaA",back moordale high yet another long await
finished sex education season 3… adam really is my favorite character huh,adam favorite character huh
"🔊 Mysterious Power by Ezra Furman &amp; The Harpoons
📀 Sex Education: Songs from Season 3",mysteriou power ezra furman harpoon song
"best characters in sex education season 3 by FAR …. lily, adam, cal, amy, jackson  absolutely no competition",best character far lily adam cal amy jackson absolutely competition
I’m such a fake bitch because i went from hating Adam to loving him in season 3 of sex education 😭,fake bitch go hate adam love
im only on episode 3 but season 3 of sex education is rly good,rly good
Ah Season 3 of Sex Education reminds me of the good old days when our classroom full of teenagers had to bully the unqualified priest they let sub our health class when he tried to teach abstinence and truly baffling misinformation about conception,ah remind good old day classroom full teenager bully unqualify priest let sub health class try teach abstinence truly baffle misinformation conception
Season 3 of sex education is pissing me off I hate the new principal so much id square up with her,piss hate new principal much id square
wait i'm watching season 3 of sex education did adam just quote kiera knightly in love actually???? he even did the voice too i love him 😭😭,wait adam quote kiera knightly love actually even voice love
@booksmartdevil Ooo ok! I'm currently watching season 3 of sex education and it's amazing as ever,ooo ok currently amaze ever
Go check out this article I wrote for @buffedfilmbuffs about season 3 of Sex Education! https://t.co/uFtEBPeW1W,go check article write
"@animoumou @netflix 1.Bojack Horseman
2.Master of None (not including season 3)
https://t.co/U8yvGWmwZl with Yourself
4. Sex Education 
5. I think you should leave

And this is only if we aren’t including stand up specials like Inside or The New One",bojack horseman master none include think leave include stand special like inside new one
"A BFB TV debut review from @nickziddy is now available on the site. Check it out to see why ""there's a serious lack of momentum"" in Season 3 of #sexeducation https://t.co/TluEIYleCm",bfb debut review available site check see there seriou lack momentum
"Netflix’s “Sex Education” educates its young audience on all things sex while tackling several complex themes. However, tackling so many important topics while creating a compelling storyline is no simple task.
https://t.co/6D5I2qF4oe",educate young audience tackle several complex theme however tackle many important topic create compel storyline simple task
Props to Sex Education season 3 on @netflix for exploration of Jackson and Cal’s relationship.,prop exploration jackson cal relationship
"@LiquorNmusic @chuuzus It's also a time thing. Netflix releases like 2 shows and 3 movies each week, that's why so much of their stuff fades from public discussion so quickly. Remember Sex Education season 3? It came out less than a month ago. Weekly release would help many shows gain an audience.",also time thing release like show movy week that much stuff fade public discussion quickly remember come les month ago weekly release would help many show gain audience
I truly forget how good Sex Education is and now I’ve already finished season 3 😭,truly forget good already
Otis on sex education might be the villain in season 3,otis might villain
Sex Education season 3 made me cry.,make cry
"Smashed all 3 season of sex education within a week, now I don’t know what to watch now",smash within week know
"I started season 3 of Sex Education, a show I would watch in day and a half if every episode wasn't a full hour long.",show would day half every wasnt full hour long
watching last ep of season 3 of sex education 💔💔,ep
"“Sex Education” is back and it's as funny, raunchy and relevant as ever."" -- Check out Alice Braga's review of the latest season of 'Sex Education', which is now streaming on #Netflix. 

https://t.co/sdwlkXoFdr",back funny raunchy relevant ever check alice braga review latest stream
Finally getting around to watching Sex Education season 3,get around
Is sex Education season 2 and 3 mid or good,mid good
Maybe it's season 3 of sex education fault,maybe fault
finished season 3 of sex education without realising I’d finished season 3.... anyone else ???,without realise anyone else
finally starting sex education season 3 and all I gotta say is what did they do to maeve’s character it just doesn’t hit anymore the people are bored (also ruby….. 🥵),gotta say maeve character hit anymore people bore also ruby
the opening scene to episode 1 of season 3 of sex education is killing me,kill
Who all are not liked sex education season 3 ending???,like end
The beginning of Sex Education season 3 took me tf out 😅,begin take tf
Im on my the finale of Sex Education Season 3 😭😭😭😭 im gonna miss all of them 😭😭😭,finale gonna miss
@NetflixIndia Release Sex Education Season 3 ASAP,release asap
I wanna rewatched sex education season 3 cuz cal https://t.co/fAu98FCqw1,wanna rewatch cuz cal
Started Sex Education season 3 and already freaking out about the nonbinary character. At least I think they are...?! I only watched 1 episode so far... 😂,already freak nonbinary character least think far
Here’s a rundown of the Afropop songs featured on ‘Sex Education’ season 3’s soundtrack https://t.co/tMxP85CgOk,rundown afropop song feature soundtrack
"18 Best Quotes from Sex Education Season 3
https://t.co/FeDJYKhLG3 https://t.co/HYzAwksXIK",best quote
‘Sex Education’ Gets More Inclusive in Its Intimacy https://t.co/MGZD3eVREa,get inclusive intimacy
"144: Sex Education Season 3 

We dive into simply our favourite TV show and talk about season 3 and the show at large. 

Spoilers! 

https://t.co/zNxUfW5Ssr",dive simply favourite show talk show large spoiler
"Happy to have placed music in Sex Education season 3 starring Gillian Anderson, Asa Butterfield! Watch it now on Netflix!😎 #SexEducation #SexEducation3 #SexEducationSeason3 #Netflix @GillianA #NetflixAndChill #OtisAndRuby https://t.co/JWlHmbZTli",happy place music star gillian anderson asa butterfield
"#SexEducation's 3rd season is its best one yet.

https://t.co/2VrapqsuaA",rd best one yet
I finished season 3 of Sex Education last night. It just keeps getting better and I’m 100% emotionally invested in 10 characters. 10!,keep get better emotisonally invest character
started season 3 of sex education and what is robert arryn doing there?,robert arryn
